id,name,salary,responsibility,requirement,url
118174106,Frontend-разработчик,Зарплата не указана,"Разработка пользовательских интерфейсов – Создание и поддержка визуальной части веб-приложений с использованием HTML, CSS и JavaScript, включая адаптивную верстку. ","Знание HTML и CSS – Умение верстать адаптивные страницы, работать с современными методами стилизации (Flexbox, Grid, CSS-препроцессоры). Опыт работы с...",https://api.hh.ru/vacancies/118174106?host=hh.ru
117961997,Разработчик фронтэнда React JS,Зарплата не указана,"Build user-facing products that create seamless experiences. Design, build, and maintain our React application. Work with product managers, user...","At least 1 year of experience in front-end <highlighttext>development</highlighttext> of building, running, and debugging web applications using modern JS...",https://api.hh.ru/vacancies/117961997?host=hh.ru
106207199,Менеджер проектов (разработка ПО),Зарплата не указана,"Организация и управление разработкой программного обеспечения. Работа в тесном взаимодействии с командой разработки, аналитиков, тестирования. Определение ресурсных потребностей, распределение задач...","Опыт работы в управлении проектами в сфере разработки программного обеспечения. Знание методологий управления проектами, таких как Agile, Scrum, Kanban, Waterfall. ",https://api.hh.ru/vacancies/106207199?host=hh.ru
118192371,QA Manual,Зарплата не указана,"Проведение всех видов тестирования. Заведение/тестирование багов, тестирование задач. Написание тестовых сценариев. Составление баг-репортов и тест-кейсов. ",Знание основных видов тестирования. Базовые навыки по работе с консолью <highlighttext>разработчика</highlighttext> в браузере. Опыт работы со стеком atlassian - confluence/jira...,https://api.hh.ru/vacancies/118192371?host=hh.ru
118156493,Frontend Программист-разработчик,"{'from': 13000000, 'to': 20000000, 'currency': 'UZS', 'gross': False}",...и принятие ключевых решений. Поддержка и усовершенствование текущих проектов. Создание новых проектов компании. Code Review других <highlighttext>разработчиков</highlighttext>. Рефакторинг/Оптимизация кода.,"Понимание принципов ООП и паттернов проектирования. Опыт разработки и интеграции API, микросервисов. Свободно владеть SQL. Хороший опыт с React (Next). ",https://api.hh.ru/vacancies/118156493?host=hh.ru
118091328,Fullstack разработчик,"{'from': 0, 'to': 500, 'currency': 'USD', 'gross': False}",Проект разрабатывается на JavaScript с использованием Vue.js для фронтенда и Node.js для бэкенда. Основные задачи фронтенд-<highlighttext>разработчика</highlighttext>. Разработка пользовательского интерфейса...,"Обязательные навыки: Уверенное знание JavaScript (ES6+), Vue.js 3. Базовый опыт работы с Vue Router, Pinia/Vuex. ",https://api.hh.ru/vacancies/118091328?host=hh.ru
117624052,Senior Frontend developer (react),Зарплата не указана,Разработка SPA комплексных приложений. Кастомизация компонентов React. Интеграция с различными third-party через Rest API. Верстка страниц и порталов по...,"Знание ES5, ES6, ECMAScript 2021. Typescript. Библиотека: React. Фреймворки: Next. Знание принципов работы js. Профильное ИТ-образование. ",https://api.hh.ru/vacancies/117624052?host=hh.ru
117670092,Художник-дизайнер,"{'from': 65000, 'to': 0, 'currency': 'RUR', 'gross': False}",2/3D дизайн. - Анимации. - Видеомонтаж. - Изготовление материалов для промо.,Творческий и креативный подход.,https://api.hh.ru/vacancies/117670092?host=hh.ru
118166900,Администратор пункта выдачи,"{'from': 195000, 'to': 195000, 'currency': 'KZT', 'gross': False}",Выдача заказов клиентам в ПВЗ. Предоставлять высокий уровень сервиса клиентам. Соблюдения порядка и сохранности ПВЗ и ТМЦ. Обеспечить бесперебойную выдачу...,"Грамотная четкая поставленная речь, будет преимуществом знание двух языков - русский, казахский. Опыт работы в сфере обслуживания - будет преимуществом, но не...",https://api.hh.ru/vacancies/118166900?host=hh.ru
118180288,Тестировщик,Зарплата не указана,"Развитие и поддержание существующих тестов. Взаимодействие с командой разработки, аналитиками и ручными тестировщиками. Анализ документации и разработка тест-кейсов, чек...","Опыт работы с Postman, SoapUI (json, xml) консоль <highlighttext>разработчика</highlighttext> Chrome. Знание основ SQL, чтение и умение писать запросы различной сложности. ",https://api.hh.ru/vacancies/118180288?host=hh.ru
117845148,Специалист по ручному тестированию,Зарплата не указана,"Ревью требований. Оценка трудозатрат. Разработка и модификация сценариев тестирования. Подготовка тестовых данных. Ручное тестирование приложений (10% fronend, 90% backend) с...","Знание техник тест-анализа и тест-дизайна. Знания о методологиях и видах тестирования, понимание процессов, происходящих в команде тестирования. ",https://api.hh.ru/vacancies/117845148?host=hh.ru
118186405,Frontend-разработчик,Зарплата не указана,"Оптимизировать производительность и обеспечивать низкие задержки при передаче данных. Тестировать, отлаживать и исправлять баги. Взаимодействовать с backend - <highlighttext>разработчиками</highlighttext> и дизайнерами.","За ответственность и четкость в работе. Разрабатывать адаптивный и отзывчивый UI/UX. Что хотим видеть: Опыт работы с React, TypeScript...",https://api.hh.ru/vacancies/118186405?host=hh.ru
118191314,Инженер-тестировщик,Зарплата не указана,"Анализ и уточнение требований на доработку системы. Тестирование требований. Разработка тест-кейсов, подготовка тестовых данных. Актуализация разработанных ранее тест-кейсов. ","Знание основных методологий разработки программного обеспечения, понимание процесса построения ПО. Знание техник тест-дизайна и умение применять их на практике. ",https://api.hh.ru/vacancies/118191314?host=hh.ru
118180161,Тестировщик / Middle QA Engineer (ручное тестирование),Зарплата не указана,"Функциональное и регрессионное тестирование. Работа в команде, тесное взаимодействие с <highlighttext>разработчиками</highlighttext> ПО, аналитиками и продуктовыми менеджерами. Создание и актуализация тестовой...","...знакомство с JS и HTML/CSS, умение применять браузерные инструменты <highlighttext>разработчика</highlighttext>. Опыт разработки тестовых сценариев. Логика, способность анализировать нестандартные проблемы.",https://api.hh.ru/vacancies/118180161?host=hh.ru
118138266,Flutter Developer,"{'from': 1000, 'to': 0, 'currency': 'USD', 'gross': False}","Проектирование архитектуры и дизайна приложения вместе с командой проекта.Нам действительно важно участие <highlighttext>разработчика</highlighttext> в планировании проекта, его мнение и экспертиза. ",Опыт работы с Flutter от 2 лет. Коммерческий опыт на 2-3 проектах по Flutter (написанные вами с нуля). ,https://api.hh.ru/vacancies/118138266?host=hh.ru
118001868,UX/UI-дизайнер,"{'from': 18000000, 'to': 30000000, 'currency': 'UZS', 'gross': False}","Тесное взаимодействие с продукт-менеджерами, <highlighttext>разработчиками</highlighttext>, аналитиками для внедрения лучших UX/UI решений в продуктах. Организация пользовательских сценариев. ","От 3 лет опыта в UX/UI дизайне, предпочтительно в гос сфере. Наличие портфолио, демонстрирующего реализованные проекты, с акцентом на...",https://api.hh.ru/vacancies/118001868?host=hh.ru
118138915,Junior+/middle Frontend разработчик,"{'from': 0, 'to': 120000, 'currency': 'RUR', 'gross': True}","Проводить ревью чужого и своего кода. Взаимодействовать с менеджерами, <highlighttext>разработчиками</highlighttext> и другими специалистами. Постоянно развиваться, учиться, прокачивать свои знания и...","Владеете JavaScript, TypeScript, CSS и React. Понимаете, как работают современные браузеры. Умеете предлагать и отстаивать свои решения. Внимательны к деталям. ",https://api.hh.ru/vacancies/118138915?host=hh.ru
118169832,Тестировщик,Зарплата не указана,Тестирование ПО непосредственно на оборудовании (в офисе). Коммуникация с <highlighttext>разработчиками</highlighttext> и аналитиками для уточнения требований. Оформление баг-репортов в системах...,"Высшее или неполное высшее образование (желательно техническое, но не обязательно). Базовые знания тестирования ПО (приветствуется понимание жизненного цикла разработки ПО...",https://api.hh.ru/vacancies/118169832?host=hh.ru
118193595,Frontend-разработчик,Зарплата не указана,"Доработка личного кабинета : — Улучшение функционала, исправление ошибок, оптимизация кода. — Интеграция с внутренними и внешними API. Разработка дашборда : — Создание интерактивных элементов...","Ты идеально подойдешь если у тебя есть: - Понимание React (компоненты, хуки, стейт-менеджмент). - Знание JavaScript (ES6+) и асинхронных...",https://api.hh.ru/vacancies/118193595?host=hh.ru
118038662,"Middle front-end разработчик (TypeScript, React)","{'from': 207000, 'to': 368000, 'currency': 'RUR', 'gross': True}","Будет плюсом, если вы работали в кросс-функциональной команде разработки и создавали, развивали, поддерживали приложения с реальными пользователями. ",,https://api.hh.ru/vacancies/118038662?host=hh.ru
117642787,QA-инженер middle,Зарплата не указана,"Заниматься локализацией и фиксацией баг-репортов. Анализировать инциденты, ставить задачи <highlighttext>разработчикам</highlighttext>, отслеживать прогресс выполнения. Взаимодействовать с другими участниками команды разработки.","Умение погружаться в сложную бизнес-логику, проявлять инициативу в исследовательской деятельности для повышения качества продукта. Наличие опыта тестирования веб-приложений...",https://api.hh.ru/vacancies/117642787?host=hh.ru
